table_name,row_count,tier,entity_class,java_refs,frontend_refs,last_sql_migration,verdict
article,49,COMPAT,Article,k12-article/src/main/java/com/k12/article/service/impl/ArticleServiceImpl.java;k12-common/src/main/java/com/k12/common/entity/Article.java;k12-resource/src/main/java/com/k12/resource/mapper/ArticleSearchMapper.java;k12-resource/src/main/java/com/k12/resource/service/impl/HomeLatestColumnServiceImpl.java,admin/api/content.ts;admin/api/homeLatestColumns.ts;admin/views/content/NewsOps.vue;admin/views/home-config/HomeLatestColumns.vue;api/homeOps.ts;api/news.ts;api/types.ts;views/home/components/LatestContent.vue;views/lesson/LessonWorkbench.vue;views/lesson/components/PrepAlbumList.vue;views/lesson/components/PrepSchoolList.vue;views/news/NewsDetail.vue;views/news/NewsHub.vue;views/news/NewsPublish.vue;views/news/components/ConsultSidebar.vue,87_phase3p0_guardrails.sql,KEEP
article_collect,0,OTHER,ArticleCollect,k12-common/src/main/java/com/k12/common/entity/ArticleCollect.java,,17_education_news.sql,UNCLASSIFIED
audit_reject_reason,19,OTHER,AuditRejectReason,k12-common/src/main/java/com/k12/common/entity/AuditRejectReason.java,,57_admin_audit_phase4b.sql,UNCLASSIFIED
auditor_workload,0,OTHER,AuditorWorkload,k12-common/src/main/java/com/k12/common/entity/AuditorWorkload.java,,85_phase8_quality_governance.sql,UNCLASSIFIED
category,3,OTHER,Category,k12-common/src/main/java/com/k12/common/entity/Category.java;k12-resource/src/main/java/com/k12/resource/mapper/SysSensitiveWordMapper.java;k12-resource/src/main/java/com/k12/resource/service/TopicZoneService.java,admin/api/audit.ts;admin/api/content.ts;admin/api/quality.ts;admin/api/taxonomy.ts;admin/components/content/ContentPackageCrud.vue;admin/views/audit/RejectReasons.vue;admin/views/audit/ResourceAudit.vue;admin/views/content/CompetitionOps.vue;admin/views/content/NewsOps.vue;admin/views/content/TopicOps.vue;admin/views/quality/QualityDashboard.vue;admin/views/quality/SensitiveWords.vue;admin/views/taxonomy/Taxonomy.vue;api/competition.ts;api/cultureStudy.ts;api/resourceGateway.ts;api/taxonomy.ts;api/topic.ts;api/types.ts;components/catalog/CatalogSidebar.vue;components/competition/CompetitionUploadDialog.vue;components/culture/CultureUploadDialog.vue;components/resource/ResourceUploadDialog.vue;components/topic/TopicUploadDialog.vue;composables/useCompetitionZone.ts;composables/useCultureStudy.ts;composables/useGradePage.ts;composables/useSubjectPageState.ts;composables/useThemeClassMeeting.ts;composables/useTopicZone.ts;config/resourceSeriesConfig.ts;constants/competitionZone.ts;constants/newsZone.ts;constants/themeClassMeetingNav.ts;constants/topicZone.ts;router/index.ts;types/browse.ts;types/index.ts;views/feature/ClassMeetingCategory.vue;views/feature/CompetitionResourceDetail.vue;views/feature/FeaturePage.vue;views/feature/PatrioticEducation.vue;views/feature/TopicResourceDetail.vue;views/feature/TraditionalCulture.vue;views/grade/GradePage.vue;views/grade/VersionResourcePage.vue;views/lesson/components/PrepAlbumList.vue;views/news/NewsChannel.vue;views/news/NewsDetail.vue;views/news/NewsHub.vue;views/news/NewsList.vue;views/news/NewsPublish.vue;views/resource/SubjectDetailPage.vue,85_phase8_quality_governance.sql,UNCLASSIFIED
collection,5,OTHER,Collection,k12-common/src/main/java/com/k12/common/entity/Collection.java;k12-resource/src/main/java/com/k12/resource/mapper/CollectionMapper.java,admin/api/users.ts;admin/views/users/UserDetail.vue;components/user/ProfileFavoritesPanel.vue;composables/useMyCollections.ts;views/home/components/SyncResourceModule.vue,91_admin_menu_reorder_plan_a.sql,UNCLASSIFIED
competition_pack_item,8,OTHER,CompetitionPackageItem,k12-common/src/main/java/com/k12/common/entity/CompetitionPackageItem.java,,13_competition_zone.sql,UNCLASSIFIED
competition_resource,12,COMPAT,CompetitionResource,k12-common/src/main/java/com/k12/common/entity/CompetitionResource.java;k12-resource/src/main/java/com/k12/resource/adapter/CompetitionSourceAdapter.java;k12-resource/src/main/java/com/k12/resource/legacy/LegacyReadApi410Service.java;k12-resource/src/main/java/com/k12/resource/service/UnifiedReadFeatureFlagService.java;k12-resource/src/test/java/com/k12/resource/adapter/ResourceMainDedicatedZoneAdapterTest.java,admin/constants/resourceSourceTypes.ts;admin/views/content/CompetitionOps.vue;api/resourceGateway.ts;views/feature/CompetitionResourceDetail.vue,94_phase3i_d_legacy_read_410.sql,KEEP
competition_training_pack,4,OTHER,CompetitionTrainingPackage,k12-common/src/main/java/com/k12/common/entity/CompetitionTrainingPackage.java,,13_competition_zone.sql,UNCLASSIFIED
consult_lead,0,OTHER,ConsultLead,k12-common/src/main/java/com/k12/common/entity/ConsultLead.java,,17_education_news.sql,UNCLASSIFIED
culture_package_item,14,OTHER,CulturePackageItem,k12-common/src/main/java/com/k12/common/entity/CulturePackageItem.java,,12_culture_study.sql,UNCLASSIFIED
culture_resource,19,COMPAT,CultureResource,k12-common/src/main/java/com/k12/common/entity/CultureResource.java;k12-resource/src/main/java/com/k12/resource/adapter/CultureSourceAdapter.java;k12-resource/src/main/java/com/k12/resource/legacy/LegacyReadApi410Service.java;k12-resource/src/main/java/com/k12/resource/service/UnifiedReadFeatureFlagService.java;k12-resource/src/test/java/com/k12/resource/adapter/ResourceMainDedicatedZoneAdapterTest.java,admin/constants/resourceSourceTypes.ts;admin/views/content/CultureOps.vue;api/resourceGateway.ts;views/feature/TraditionalCulture.vue,94_phase3i_d_legacy_read_410.sql,KEEP
culture_study_package,6,OTHER,CultureStudyPackage,k12-common/src/main/java/com/k12/common/entity/CultureStudyPackage.java,,12_culture_study.sql,UNCLASSIFIED
dict,42,OTHER,Dict,k12-common/src/main/java/com/k12/common/entity/Dict.java,admin/api/dictionary.ts;admin/api/search.ts;admin/router/routes.ts;admin/views/dictionary/Dictionaries.vue;admin/views/dictionary/Tags.vue;admin/views/search/SearchIndexStatus.vue;api/dictionary.ts;composables/dictionarySource.ts;composables/useResourceUploadForm.ts;config/featureFlags.ts;constants/index.ts;constants/uploadOptions.ts,99_seed_all.sql,UNCLASSIFIED
download_record,2,OTHER,DownloadRecord,k12-common/src/main/java/com/k12/common/entity/DownloadRecord.java,,36_user_behavior_records.sql,UNCLASSIFIED
edu_browse_tag,9,OTHER,EduBrowseTag,k12-common/src/main/java/com/k12/common/entity/EduBrowseTag.java,,60_admin_dictionary_phase5d.sql,UNCLASSIFIED
edu_catalog_node,1357,OTHER,EduCatalogNode,k12-common/src/main/java/com/k12/common/entity/EduCatalogNode.java;k12-resource/src/main/java/com/k12/resource/mapper/EduCatalogNodeMapper.java;k12-resource/src/main/java/com/k12/resource/mapper/VAdminResourceMainMapper.java,admin/views/catalog/CatalogTree.vue,90_phase3c_quality_cleanup.sql,UNCLASSIFIED
edu_catalog_scheme,2,OTHER,EduCatalogScheme,k12-common/src/main/java/com/k12/common/entity/EduCatalogScheme.java;k12-resource/src/main/java/com/k12/resource/mapper/EduCatalogSchemeMapper.java,,90_phase3c_quality_cleanup.sql,UNCLASSIFIED
edu_catalog_unit_alias,175,OTHER,,,,35_seed_qicai_primary_baseline.sql,UNCLASSIFIED
edu_channel,3,OTHER,,,,99_seed_all.sql,UNCLASSIFIED
edu_edition,9,OTHER,EduEdition,k12-common/src/main/java/com/k12/common/entity/EduEdition.java;k12-resource/src/main/java/com/k12/resource/mapper/DimensionLookupMapper.java;k12-resource/src/main/java/com/k12/resource/mapper/EduEditionMapper.java,config/subjectConfig.ts,99_seed_all.sql,UNCLASSIFIED
edu_exam_scene,12,OTHER,EduExamScene,k12-common/src/main/java/com/k12/common/entity/EduExamScene.java,,99_seed_all.sql,UNCLASSIFIED
edu_file_format,7,OTHER,EduFileFormat,k12-common/src/main/java/com/k12/common/entity/EduFileFormat.java,,99_seed_all.sql,UNCLASSIFIED
edu_grade,24,OTHER,EduGrade,k12-common/src/main/java/com/k12/common/entity/EduGrade.java;k12-resource/src/main/java/com/k12/resource/mapper/DimensionLookupMapper.java,composables/taxonomySource.ts,99_seed_all.sql,UNCLASSIFIED
edu_knowledge_point,3,OTHER,,,,99_seed_all.sql,UNCLASSIFIED
edu_lesson,20,OTHER,,,,99_seed_all.sql,UNCLASSIFIED
edu_module,47,OTHER,EduModule,k12-common/src/main/java/com/k12/common/entity/EduModule.java;k12-resource/src/main/java/com/k12/resource/mapper/DimensionLookupMapper.java;k12-resource/src/main/java/com/k12/resource/mapper/EduModuleStageMapper.java;k12-resource/src/main/java/com/k12/resource/mapper/EduModuleSubjectMapper.java,config/subjectConfig.ts;constants/homeFuncChannels.ts,99_seed_all.sql,UNCLASSIFIED
edu_module_stage,120,OTHER,,k12-resource/src/main/java/com/k12/resource/mapper/EduModuleStageMapper.java;k12-resource/src/main/java/com/k12/resource/mapper/EduModuleSubjectMapper.java,,99_seed_all.sql,UNCLASSIFIED
edu_module_subject,809,OTHER,,k12-resource/src/main/java/com/k12/resource/mapper/EduModuleSubjectMapper.java,,68_phase5f_subject_nav.sql,UNCLASSIFIED
edu_region,6,OTHER,EduRegion,k12-common/src/main/java/com/k12/common/entity/EduRegion.java,,99_seed_all.sql,UNCLASSIFIED
edu_resource,23,PRIMARY,EduResource,k12-common/src/main/java/com/k12/common/entity/EduResource.java;k12-resource/src/main/java/com/k12/resource/adapter/EduResourceSourceAdapter.java;k12-resource/src/main/java/com/k12/resource/mapper/DimensionLookupMapper.java;k12-resource/src/main/java/com/k12/resource/mapper/EduCatalogNodeMapper.java;k12-resource/src/main/java/com/k12/resource/mapper/EduCatalogSchemeMapper.java;k12-resource/src/main/java/com/k12/resource/mapper/EduResourceBrandMapper.java;k12-resource/src/main/java/com/k12/resource/mapper/EduResourceDimensionMapper.java;k12-resource/src/main/java/com/k12/resource/mapper/EduResourceFileMapper.java;k12-resource/src/main/java/com/k12/resource/mapper/EduResourceMapper.java;k12-resource/src/main/java/com/k12/resource/mapper/EduResourcePlacementMapper.java;k12-resource/src/main/java/com/k12/resource/mapper/EduSubjectResourceTypeMapper.java;k12-resource/src/main/java/com/k12/resource/mapper/PrimaryChineseResourceMapper.java;k12-resource/src/main/java/com/k12/resource/mapper/ResourceBrowseMapper.java;k12-resource/src/main/java/com/k12/resource/service/HomePanelService.java;k12-resource/src/main/java/com/k12/resource/service/UnifiedReadFeatureFlagService.java;k12-resource/src/main/java/com/k12/resource/service/impl/AdminHomePanelServiceImpl.java;k12-resource/src/main/java/com/k12/resource/service/impl/HomeLatestColumnServiceImpl.java,admin/api/homePanels.ts;admin/constants/resourceSourceTypes.ts;admin/views/content/ThemeClassMeetingOps.vue;admin/views/home-config/HomeLatestColumns.vue;admin/views/resources/ResourceList.vue;api/resources.ts,90_phase3c_quality_cleanup.sql,KEEP
edu_resource_brand,3,OTHER,EduResourceBrand,k12-common/src/main/java/com/k12/common/entity/EduResourceBrand.java;k12-resource/src/main/java/com/k12/resource/mapper/EduCatalogSchemeMapper.java;k12-resource/src/main/java/com/k12/resource/mapper/EduResourceBrandMapper.java,,33_patch_brand_logo_url.sql,UNCLASSIFIED
edu_resource_dimension,22,PRIMARY,EduResourceDimension,k12-common/src/main/java/com/k12/common/entity/EduResourceDimension.java;k12-resource/src/main/java/com/k12/resource/mapper/EduResourceDimensionMapper.java;k12-resource/src/main/java/com/k12/resource/mapper/EduResourceMapper.java,,86_phase3b_resource_main_chain.sql,KEEP
edu_resource_feature,0,OTHER,,,,05_resource.sql,REVIEW
edu_resource_file,7,PRIMARY,EduResourceFile,k12-common/src/main/java/com/k12/common/entity/EduResourceFile.java;k12-resource/src/main/java/com/k12/resource/mapper/EduResourceFileMapper.java,,32_m4_resource_write_enhance.sql,KEEP
